,,,,,,,Na,,Na%,,Na2O,,Na2O%,,Mg,,Mg%,,MgO,,MgO%,,Cl,,K,,K%,,K2O,,K2O%,,Sc,,Ti,,Ti%,,TiO2,,TiO2%,,Mn,,Mn%,,MnO,,MnO%,,Fe,,Fe%,,FeO%,,Fe2O3,,Fe2O3%,,Co,,Zn,,Ga,,Rb,,Sr,,Y,,Zr,,Nb,,Sb,,Cs,,Ba,,La,,Ce,,Nd,,Tb,,Dy,,Sm,,Eu,,Yb,,Lu,,Hf,,Ta,,Pb,,Th,,U,,,,,,
Gagnevin et al 2003,ANT004,Rallier-du-Baty,Source Sample,,EDXRF,1,40060.0193610842,,4.00600193610842,,,5.4,5.4,,482.421535789604,,0.0482421535789604,,,,0.08,,,,,,3.53640239500616,,,,4.26,,,,1558.43765648473,,0.155843765648473,,,,0.26,,1084.23130057233,,0.108423130057233,,,,0.14,,41041.35291252,,4.104135291252,,5.28,,,,,,,,303,,31,,300,,14,,136,,1978,,38,,,,,,23,,35.7,,78.1,,48.1,,,,,,9.4,,5.3,,2.3,,,,,,,,28,,,,,,,,,,
Macdonald et al 1992,ANT005,Deception Island,Source Sample,,AC and INAA,1,50965.2468538238,,5.09652468538238,,,,6.87,,4221.18843815904,,0.422118843815904,,,,0.7,,0.16,,15108.5736124676,,1.51085736124676,,,,1.82,,,,4435.55332999499,,0.443555332999499,,,,0.74,,1548.90185796047,,0.154890185796047,,,,0.2,,6784.35092992673,,0.678435092992673,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macdonald et al 1992,ANT005,Deception Island,Source Sample,,AC and INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,100,,,,24,,140,,73,,500,,16,,,,2,,287,,29,,65,,39,,,,,,10.1,,2.05,,,,1.11,,11.9,,1.26,,14,,5,,1.2,,,,,,
Macdonald et al 1992,ANT006,Zavodovski Island,Source Sample,,AC and INAA,1,34570.3130041949,,3.45703130041949,,,,4.66,,3015.13459868503,,0.301513459868503,,,,0.5,,,,5561.94742876555,,0.556194742876555,,,,0.67,,,,1798.19729594392,,0.179819729594392,,,,0.3,,619.560743184189,,0.0619560743184189,,,,0.08,,4825.98158932933,,0.482598158932933,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macdonald et al 1992,ANT006,Zavodovski Island,Source Sample,,AC and INAA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,43,,,,14,,110,,33,,107,,0.6,,,,0.5,,119,,5,,11,,7,,,,,,2.8,,0.77,,,,0.53,,3,,,,9,,0.7,,,,,,,,
Escola et al 2016,ARG001,Alto Tocomar,Artifacts,,INAA,19,28910,574,,,,,,,,,,,,,,,,,35895,1983,,,,,,,,,,,,,,,,,977,20,,,,,,,3602,89,,,,,,,,,,,47,5,,,753,18,,,,,235,15,,,,,,,147,22,6.4,0.8,,,,,,,,,,,,,,,,,,,,,,,2.5,0.1,29.3,2.8,,,,,
Escola et al 2016,ARG002,Archibarca,Artifacts,,INAA,8,28646,461.9,,,,,,,,,,,,,,,,,330535.2,2131,,,,,,,,,,,,,,,,,548,9,,,,,,,8655,40,,,,,,,,,,,50,2,,,112,1,380,23,,,144,13,,,,,,,845,13,55,0.4,,,,,,,,,,,,,,,,,,,,,,,14.7,0.1,3.1,0.4,,,,,
Stern et al 2012,ARG005,Cerro Bayo 1,Artifacts,,ICP-MS,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219,,,,,,,,509,,,,,,,,,,,,,,,,,,,,,,,,160,,52,,19,,181,,30,,,,,,284,,31.4,,,,,,,,,,,,,,,,,,,,,,20.5,,22.7,,6.7,,,,,,
Stern et al 2012,ARG006,Cerro Bayo 2,Artifacts,,ICP-MS,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232,,,,,,,,427,,,,,,,,,,,,,,,,,,,,,,,,191,,9,,18,,151,,32,,,,,,,,33.7,,,,,,,,,,,,,,,,,,,,,,23.7,,26.6,,7.5,,,,,,
Escola et al 2016,ARG009,Cueros de Purulla,Artifacts,,INAA,31,28338,456,,,,,,,,,,,,,,,,,37418,1890,,,,,,,,,,,,,,,,,623,16,,,,,,,9444,330,,,,,,,,,,,55,14,,,173,2,366,41,,,198,8,,,,,,,624,15,55,0.7,,,,,,,,,,,,,,,,,,,,,,,20,0.3,5.9,0.9,,,,,
IAOS Bulletin 40,ARG009,Cueros de Purulla,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,41587,,,,,,,,,,1737,,,,,,,,575,,,,,,,,10499,,,,,,,,,,,,53,,11,,182,,335,,82,,181,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giesso et al 2011,ARG010,Cerro huenul,Source Samples,,NAA,16,32000,600,3.2,0.06,,,,,,,,,,,,,356,64,32300,,3.23,0.2,,,,,,,,,,,,,,,675,15,,,,,,,5114,117,,,,,,,,,,,27.7,2.2,,,104,2,131,19,,,95,8,,,0.15,0.01,,,682,18,16.9,0.4,32.8,0.9,,,,,1.63,0.21,2.34,0.2,0.39,0.01,,,,,,,,,,,9.18,0.19,4.15,0.28,,,,,
Giesso et al 2011,ARG010,Cerro huenul,Source Samples,,EDXRF,8,,,,,,,,,,,,,,,,,,,,,3.35,0.07,,,,,,,766,129,,,,,,,502,44,,,,,,,5302,412,,,,,,,,,,,29,5,,,104,4,102,5,15,2,71,3,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAOS Bulletin 38,ARG010,Cerro huenul,Artifacts,,EDXRF,1,31799,,,,,,,,,,,,,,,,310,,34434,,,,,,,,,,,,,,,,,,674,,,,,,,,,,,,,,,,,,,,31,,,,103,,117,,,,94,,,,,,,,695,,17,,31,,,,,,,,,,,,,,,,,,,,,,9,,4,,,,,,
IAOS Bulletin 38,ARG010,Cerro huenul,Artifacts,,EDXRF,1,32456,,,,,,,,,,,,,,,,344,,32993,,,,,,,,,,,,,,,,,,687,,,,,,,,,,,,,,,,,,,,26,,,,102,,107,,,,97,,,,,,,,688,,17,,32,,,,,,,,,,,,,,,,,,,,,,9,,4,,,,,,
Duran et al 2011,ARG011,Desconocida,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,,141,,4,,322,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG011,Desconocida,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196,,1538,,0,,868,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG011,Desconocida,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1859,,252,,148,,1616,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG011,Desconocida,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,,1136,,58,,842,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG011,Desconocida,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,,523,,51,,514,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG011,Desconocida,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089,,903,,88,,720,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giesso et al 2011,ARG012,El Peceño-1,Source Samples,,NAA,28,33400,800,3.34,0.08,,,,,,,,,,,,,394,54,37700,1900,3.77,0.19,,,,,,,,,,,,,,,880,19,,,,,,,5837,194,,,,,,,,,,,49,5.1,,,218,4,364,49,,,191,11,,,0.49,0.03,,,1127,20,18.4,0.9,34.2,1.6,,,,,1.09,0.24,2.48,0.2,0.47,0.02,,,,,,,,,,,11.4,0.3,8.15,0.45,,,,,
Giesso et al 2011,ARG012,El Peceño-1,Source Samples,,EDXRF,29,,,,,,,,,,,,,,,,,,,30700,2700,3.07,0.27,,,,,,,1720,131,,,,,,,661,46,,,,,,,6092,401,,,,,,,,,,,40,9,,,226,8,376,20,18,2,148,17,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giesso et al 2011,ARG013,El Peceño-2,Source Samples,,NAA,4,31100,1000,3.11,0.1,,,,,,,,,,,,,303,75,39700,1900,3.97,0.19,,,,,,,,,,,,,,,793,26,,,,,,,4754,82,,,,,,,,,,,51.5,2.3,,,238,5,339,45,,,143,9,,,0.7,0.11,,,866,14,7.8,0.1,15.7,0.2,,,,,0.62,0.1,1.62,0.07,0.23,0.01,,,,,,,,,,,9.37,0.2,9.6,0.2,,,,,
Giesso et al 2011,ARG013,El Peceño-2,Source Samples,,EDXRF,13,,,,,,,,,,,,,,,,,,,30900,2000,3.09,0.2,,,,,,,1308,192,,,,,,,567,83,,,,,,,5138,310,,,,,,,,,,,40,7,,,245,7,379,76,16,1,103,13,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAOS Bulletin 38,ARG014,La Bandera,Artifacts,,EDXRF,1,32117,,,,,,,,,,,,,,,,596,,41291,,,,,,,,,,,,,,,,,,428,,,,,,,,,,,,,,,,,,,,35,,,,154,,65,,,,193,,,,,,,,270,,32,,55,,,,,,,,,,,,,,,,,,,,,,24,,8,,,,,,
IAOS Bulletin 38,ARG014,La Bandera,Artifacts,,EDXRF,1,31870,,,,,,,,,,,,,,,,657,,34136,,,,,,,,,,,,,,,,,,416,,,,,,,,,,,,,,,,,,,,34,,,,155,,41,,,,178,,,,,,,,256,,32,,55,,,,,,,,,,,,,,,,,,,,,,24,,8,,,,,,
IAOS Bulletin 38,ARG014,La Bandera,Artifacts,,EDXRF,1,32760,,,,,,,,,,,,,,,,636,,41608,,,,,,,,,,,,,,,,,,439,,,,,,,,,,,,,,,,,,,,30,,,,161,,55,,,,197,,,,,,,,292,,33,,60,,,,,,,,,,,,,,,,,,,,,,26,,7,,,,,,
IAOS Bulletin 38,ARG014,La Bandera,Artifacts,,EDXRF,1,31328,,,,,,,,,,,,,,,,583,,39785,,,,,,,,,,,,,,,,,,417,,,,,,,,,,,,,,,,,,,,30,,,,161,,33,,,,207,,,,,,,,280,,33,,59,,,,,,,,,,,,,,,,,,,,,,26,,7.6,,,,,,
IAOS Bulletin 38,ARG014,La Bandera,Artifacts,,EDXRF,1,31761,,,,,,,,,,,,,,,,597,,39874,,,,,,,,,,,,,,,,,,421,,,,,,,,,,,,,,,,,,,,29,,,,161,,147,,,,193,,,,,,,,290,,32,,58,,,,,,,,,,,,,,,,,,,,,,28,,7,,,,,,
IAOS Bulletin 40,ARG017,Laguna Cavi,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,34893,,,,,,,,,,247,,,,,,,,809,,,,,,,,4035,,,,,,,,,,,,56,,18,,508,,13,,62,,38,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAOS Bulletin 40,ARG017,Laguna Cavi,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,28047,,,,,,,,,,211,,,,,,,,786,,,,,,,,4018,,,,,,,,,,,,24,,22,,492,,3,,44,,90,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAOS Bulletin 40,ARG017,Laguna Cavi,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,38960,,,,,,,,,,310,,,,,,,,832,,,,,,,,5017,,,,,,,,,,,,42,,25,,521,,9,,51,,111,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG018,Laguna del Diamante Arroyo Las Numeradas,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265,,564,,73,,665,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG018,Laguna del Diamante Arroyo Las Numeradas,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,,383,,57,,501,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG019,Laguna del Diamante Arroyo Paramillos,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973,,476,,59,,553,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG019,Laguna del Diamante Arroyo Paramillos,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378,,636,,93,,783,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG019,Laguna del Diamante Arroyo Paramillos,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581,,245,,20,,299,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG019,Laguna del Diamante Arroyo Paramillos,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323,,603,,76,,705,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG019,Laguna del Diamante Arroyo Paramillos,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007,,440,,91,,653,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG019,Laguna del Diamante Arroyo Paramillos,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985,,445,,52,,544,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG019,Laguna del Diamante Arroyo Paramillos,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,,419,,23,,327,,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG019,Laguna del Diamante Arroyo Paramillos,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613,,261,,30,,316,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG019,Laguna del Diamante Arroyo Paramillos,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248,,564,,74,,660,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG019,Laguna del Diamante Arroyo Paramillos,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411,,1614,,73,,2620,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG020,Arroyo de Las Cargas,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919,,1555,,83,,1349,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG020,Arroyo de Las Cargas,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222,,634,,84,,1688,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG020,Arroyo de Las Cargas,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893,,1767,,85,,1359,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG020,Arroyo de Las Cargas,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954,,1654,,100,,1473,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG020,Arroyo de Las Cargas,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062,,1864,,109,,1644,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG020,Arroyo de Las Cargas,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202,,1674,,133,,1305,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG020,Arroyo de Las Cargas,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115,,1956,,108,,1738,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG020,Arroyo de Las Cargas,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931,,1603,,68,,1357,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG020,Arroyo de Las Cargas,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,,663,,5,,590,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duran et al 2011,ARG020,Arroyo de Las Cargas,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,,515,,0,,422,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giesso et al 2011,ARG020,Las Cargas,Source Samples,,NAA,35,32500,700,3.25,0.07,,,,,,,,,,,,,674,115,28000,1700,2.8,0.17,,,,,,,,,,,,,,,585,18,,,,,,,8979,159,,,,,,,,,,,36.4,2.5,,,112,2,217,16,,,141,9,,,0.76,0.03,,,578,18,28.3,0.6,53.8,1,,,,,2.32,0.29,3.53,0.12,0.62,0.01,,,,,,,,,,,13.5,0.2,3.52,0.32,,,,,
Giesso et al 2011,ARG020,Las Cargas,Source Samples,,EDXRF,180,,,,,,,,,,,,,,,,,,,31900,1000,3.19,0.1,,,,,,,997,113,,,,,,,344,80,,,,,,,9839,713,,,,,,,,,,,33,7,,,120,7,206,15,18,2,129,9,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAOS Bulletin 40,ARG024,Ona,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,38418,,,,,,,,,,805,,,,,,,,391,,,,,,,,4973,,,,,,,,,,,,29,,19,,231,,142,,23,,85,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAOS Bulletin 40,ARG024,Ona,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,42512,,,,,,,,,,847,,,,,,,,374,,,,,,,,5077,,,,,,,,,,,,20,,22,,236,,151,,24,,106,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAOS Bulletin 40,ARG024,Ona,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,40262,,,,,,,,,,740,,,,,,,,377,,,,,,,,4548,,,,,,,,,,,,22,,21,,239,,130,,22,,84,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAOS Bulletin 40,ARG024,Ona,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,39736,,,,,,,,,,781,,,,,,,,355,,,,,,,,4800,,,,,,,,,,,,26,,20,,240,,138,,24,,84,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAOS Bulletin 40,ARG024,Ona,Artifacts,,EDXRF,1,,,,,,,,,,,,,,,,,,,39408,,,,,,,,,,940,,,,,,,,373,,,,,,,,5615,,,,,,,,,,,,26,,18,,208,,200,,42,,101,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
